year,Rank,Artist,Title,Spotify_Popularity,Artist_Popularity
1960,38,Conway Twitty,Lonely Blue Boy,-1,60
1960,39,Steve Lawrence,Pretty Blue Eyes,-1,36
1960,40,Freddie Cannon,Way Down Yonder In New Orleans,-1,-1
1960,41,Anita Bryant,Paper Roses,-1,19
1960,42,Larry Verne,Mr. Custer,-1,13
1960,43,Brenda Lee,I Want To Be Wanted,28,75
1960,44,Fendermen,Mule Skinner Blues,27,19
1960,45,Johnny Preston,Cradle Of Love,-1,34
1960,46,Marv Johnson,You’ve Got What It Takes,-1,28
1960,47,Hank Locklin,"Please Help Me, I’m Falling",-1,48
1960,48,Ron Holden,Love You So,-1,13
1960,49,Hank Ballard and The Midnighters,Finger Poppin’ Time,-1,28
1960,50,Platters,Harbor Lights,36,66
1960,51,Billy Bland,Let The Little Girl Dance,-1,13
1960,52,Jeanne Black,He’ll Have To Stay,-1,10
1960,53,Ferrante and Teicher,Theme From The Apartment,-1,41
1960,54,Bobby Rydell,Volare (Nel Blu Dipinto Di Blu),-1,46
1960,55,Jimmy Charles,A Million To One,-1,14
1960,56,Andy Williams,The Village Of St. Bernadette,-1,76
1960,57,The Browns,The Old Lamplighter,-1,30
1960,58,Bill Black’s Combo,White Silver Sands,-1,6
1960,59,Bobby Vee,Devil Or Angel,27,53
1960,60,Four Preps,Down By The Station,-1,33
1960,61,Little Dippers,Forever,-1,13
1960,62,Safaris and The Phantom’s Band,Image Of A Girl,-1,-1
1960,63,Brook Benton,Kiddio,-1,48
1960,64,Donnie Brooks,Mission Bell,-1,11
1960,65,Marv Johnson,I Love The Way You Love,-1,28
1960,66,Paul Anka,It’s Time To Cry,-1,64
1960,67,Ray Peterson,Tell Laura I Love Her,-1,39
1960,68,Connie Francis,Mama,21,56
1960,69,Steve Lawrence,Footsteps,-1,36
1960,70,Everly Brothers,So Sad,23,62
1960,71,Brenda Lee,That’s All You Gotta Do,-1,75
1960,72,Fats Domino,Walking To New Orleans,37,57
1960,73,Connie Francis,Among My Souvenirs,-1,56
1960,74,Bobby Rydell,Swingin’ School,-1,46
1960,75,Dinah Washington and Brook Benton,A Rockin’ Good Way,-1,7
1960,76,Neil Sedaka,Stairway To Heaven,-1,58
1960,77,Paul Anka,My Home Town,-1,64
1960,78,Ray Charles,Georgia On My Mind,-1,69
1960,79,Skip and Flip,Cherry Pie,-1,12
1960,80,Sam Cooke,Wonderful World,65,70
1960,81,Spencer Ross,Tracy’s Theme,-1,0
1960,82,Lloyd Price,Lady Luck,-1,48
1960,83,Crests,Step By Step,-1,42
1960,84,Paul Evans,Happy-Go-Lucky Me,-1,31
1960,85,Ricky Nelson,Young Emotions,-1,56
1960,86,Johnny Burnette,Dreamin’,38,44
1960,87,Johnny Tillotson,Poetry In Motion,1,48
1960,88,Annette,O Dio Mio,8,50
1960,89,Joe Jones,You Talk Too Much,-1,44
1960,90,Johnny and The Hurricanes,Beatnik Fly,-1,34
1960,91,Everly Brothers,When Will I Be Loved,11,62
1960,92,Bob Luman,Let’s Think About Livin’,-1,31
1960,93,Guy Mitchell,Heartaches By The Number,-1,43
1960,94,Anita Bryant,In My Little Corner Of The World,-1,19
1960,95,Jackie Wilson,Doggin’ Around,17,62
1960,96,Bobby Rydell,Little Bitty Girl,-1,46
1960,97,Barret Strong,Money,-1,-1
1960,98,Maurice Williams,Stay,-1,46
1960,99,Charlie Rich,Lonely Weekends,0,50
1960,100,Larry Hall,Sandy,-1,27
1961,1,Bobby Lewis,Tossin’ And Turnin’,-1,28
1961,2,Patsy Cline,I Fall To Pieces,48,59
1961,3,Highwaymen,Michael,5,56
1961,4,Roy Orbison,Cryin’,-1,68
1961,5,Del Shannon,Runaway,57,51
1961,6,Jive Five,My True Story,-1,29
1961,7,Chubby Checker,Pony Time,23,55
1961,8,String-a-longs,Wheels,-1,22
1961,9,Dee Clark,Raindrops,8,22
1961,10,Joe Dowell,Wooden Heart (Muss I Denn),-1,11
1961,11,Lawrence Welk,Calcutta,-1,44
1961,12,Bobby Vee,Take Good Care Of My Baby,-1,53
1961,13,Roy Orbison,Running Scared,-1,68
1961,14,The Shirelles,Dedicated To The One I Love,-1,55
1961,15,Mar-keys,Last Night,35,33
1961,16,Shirelles,(Will You Love Me) Tomorrow,-1,55
1961,17,Ferrante and Teicher,Exodus,-1,41
1961,18,Connie Francis,Where The Boys Are,-1,56
1961,19,Ray Charles,Hit The Road Jack,-1,69
1961,20,Sue Thompson,Sad Movies (Make Me Cry),21,35
1961,21,Ernie K-Doe,Mother-In-Law,-1,32
1961,22,Dovells,Bristol Stomp,-1,28
1961,23,Ricky Nelson,Travelin’ Man,-1,56
1961,24,Miracles,Shop Around,53,62
1961,25,Brook Benton,The Boll Weevil Song,-1,48
1961,26,Gene Mcdaniels,A Hundred Pounds Of Clay,26,25
1961,27,Dick and Deedee,The Mountain’s High,-1,-1
1961,28,Marty Robbins,Don’t Worry,-1,62
1961,29,Floyd Cramer,On The Rebound,27,40
1961,30,Steve Lawrence,Portrait Op My Love,-1,36
1961,31,Gary,Quarter To Three,-1,64
